0000000991,scans,0000000052,DataLength
"header",0000000040,"lines"
"Date",02/12/2019,"Time",10:26:13
"ID","EQP HIGH ENERGY #15031","Version",3
"Scans",1
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","SEM","mass",1.00,100.00,0.10,10.000%,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"1st-dynode",-3500,"V"
"CRV_range",7,"c/s"
"CRV_resolution",6,"bits"
"D.C.quad",6,"%"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"axis",-40.0,"V"
"cage",3.0,"V"
"delta-m",0,"%"
"discriminator",-10,"%"
"electron-energy",15.0,"V"
"emission",10.0000,"uA"
"energy",3.15,"V"
"extractor",0,"V"
"focus2",-354,"V"
"gate_delay",0.1,"uS"
"gate_width",0.0,"uS"
"gating",0,"( 1 = on, 0 = off )"
"gating_invert",0,"( 0 = normal, 1 = invert)"
"horiz",16,"%"
"lens1",0,"V"
"lens2",-100,"V"
"mass",20.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1900,"V"
"plates",7.27,"V"
"reference",0.0,"V"
"resolution",0,"%"
"suppressor",-200,"V"
"transit-energy",3.00,"V"
"vert",24,"%"
"Data",1
"Cycle","Time","ms","mass amu","SEM c/s"
0000000001,00:00:01,0000001452,    1.00,         0
0000000001,00:00:01,0000001452,    1.10,         0
0000000001,00:00:01,0000001452,    1.20,         0
0000000001,00:00:01,0000001452,    1.30,         0
0000000001,00:00:01,0000001452,    1.40,         0
0000000001,00:00:01,0000001452,    1.50,         0
0000000001,00:00:01,0000001452,    1.60,         0
0000000001,00:00:01,0000001452,    1.70,         0
0000000001,00:00:01,0000001452,    1.80,         0
0000000001,00:00:01,0000001452,    1.90,         0
0000000001,00:00:01,0000001452,    2.00,         0
0000000001,00:00:01,0000001452,    2.10,         0
0000000001,00:00:01,0000001452,    2.20,         0
0000000001,00:00:01,0000001452,    2.30,         0
0000000001,00:00:01,0000001452,    2.40,         0
0000000001,00:00:01,0000001452,    2.50,         0
0000000001,00:00:01,0000001452,    2.60,         0
0000000001,00:00:01,0000001452,    2.70,         0
0000000001,00:00:01,0000001452,    2.80,         0
0000000001,00:00:01,0000001452,    2.90,         0
0000000001,00:00:01,0000001452,    3.00,         0
0000000001,00:00:01,0000001452,    3.10,         0
0000000001,00:00:01,0000001452,    3.20,         0
0000000001,00:00:01,0000001452,    3.30,         0
0000000001,00:00:01,0000001452,    3.40,         0
0000000001,00:00:01,0000001452,    3.50,         0
0000000001,00:00:01,0000001452,    3.60,         0
0000000001,00:00:01,0000001452,    3.70,         0
0000000001,00:00:01,0000001452,    3.80,         0
0000000001,00:00:01,0000001452,    3.90,         0
0000000001,00:00:01,0000001452,    4.00,         0
0000000001,00:00:01,0000001452,    4.10,         0
0000000001,00:00:01,0000001452,    4.20,         0
0000000001,00:00:01,0000001452,    4.30,         0
0000000001,00:00:01,0000001452,    4.40,         0
0000000001,00:00:01,0000001452,    4.50,         0
0000000001,00:00:01,0000001452,    4.60,         0
0000000001,00:00:01,0000001452,    4.70,         0
0000000001,00:00:01,0000001452,    4.80,         0
0000000001,00:00:01,0000001452,    4.90,         0
0000000001,00:00:01,0000001452,    5.00,         0
0000000001,00:00:01,0000001452,    5.10,         0
0000000001,00:00:01,0000001452,    5.20,         0
0000000001,00:00:01,0000001452,    5.30,         0
0000000001,00:00:01,0000001452,    5.40,         0
0000000001,00:00:01,0000001452,    5.50,         0
0000000001,00:00:01,0000001452,    5.60,         0
0000000001,00:00:01,0000001452,    5.70,         0
0000000001,00:00:01,0000001452,    5.80,         0
0000000001,00:00:01,0000001452,    5.90,         0
0000000001,00:00:01,0000001452,    6.00,         0
0000000001,00:00:01,0000001452,    6.10,         0
0000000001,00:00:01,0000001452,    6.20,         0
0000000001,00:00:01,0000001452,    6.30,         0
0000000001,00:00:01,0000001452,    6.40,         0
0000000001,00:00:01,0000001452,    6.50,         0
0000000001,00:00:01,0000001452,    6.60,         0
0000000001,00:00:01,0000001452,    6.70,         0
0000000001,00:00:01,0000001452,    6.80,         0
0000000001,00:00:01,0000001452,    6.90,         0
0000000001,00:00:01,0000001452,    7.00,         0
0000000001,00:00:01,0000001452,    7.10,         0
0000000001,00:00:01,0000001452,    7.20,         0
0000000001,00:00:01,0000001452,    7.30,         0
0000000001,00:00:01,0000001452,    7.40,         0
0000000001,00:00:01,0000001452,    7.50,         0
0000000001,00:00:01,0000001452,    7.60,         0
0000000001,00:00:01,0000001452,    7.70,         0
0000000001,00:00:01,0000001452,    7.80,         0
0000000001,00:00:01,0000001452,    7.90,         0
0000000001,00:00:01,0000001452,    8.00,         0
0000000001,00:00:01,0000001452,    8.10,         0
0000000001,00:00:01,0000001452,    8.20,         0
0000000001,00:00:01,0000001452,    8.30,         0
0000000001,00:00:01,0000001452,    8.40,         0
0000000001,00:00:01,0000001452,    8.50,         0
0000000001,00:00:01,0000001452,    8.60,         0
0000000001,00:00:01,0000001452,    8.70,         0
0000000001,00:00:01,0000001452,    8.80,         0
0000000001,00:00:01,0000001452,    8.90,         0
0000000001,00:00:01,0000001452,    9.00,         0
0000000001,00:00:01,0000001452,    9.10,         0
0000000001,00:00:01,0000001452,    9.20,         0
0000000001,00:00:01,0000001452,    9.30,         0
0000000001,00:00:01,0000001452,    9.40,         0
0000000001,00:00:01,0000001452,    9.50,         0
0000000001,00:00:01,0000001452,    9.60,         0
0000000001,00:00:01,0000001452,    9.70,         0
0000000001,00:00:01,0000001452,    9.80,         0
0000000001,00:00:01,0000001452,    9.90,         0
0000000001,00:00:01,0000001452,   10.00,         0
0000000001,00:00:01,0000001452,   10.10,         0
0000000001,00:00:01,0000001452,   10.20,         0
0000000001,00:00:01,0000001452,   10.30,         0
0000000001,00:00:01,0000001452,   10.40,         0
0000000001,00:00:01,0000001452,   10.50,         0
0000000001,00:00:01,0000001452,   10.60,         0
0000000001,00:00:01,0000001452,   10.70,         0
0000000001,00:00:01,0000001452,   10.80,         0
0000000001,00:00:01,0000001452,   10.90,         0
0000000001,00:00:01,0000001452,   11.00,         0
0000000001,00:00:01,0000001452,   11.10,         0
0000000001,00:00:01,0000001452,   11.20,         0
0000000001,00:00:01,0000001452,   11.30,         0
0000000001,00:00:01,0000001452,   11.40,         0
0000000001,00:00:01,0000001452,   11.50,         0
0000000001,00:00:01,0000001452,   11.60,         0
0000000001,00:00:01,0000001452,   11.70,         0
0000000001,00:00:01,0000001452,   11.80,         0
0000000001,00:00:01,0000001452,   11.90,         0
0000000001,00:00:01,0000001452,   12.00,         0
0000000001,00:00:01,0000001452,   12.10,         0
0000000001,00:00:01,0000001452,   12.20,         0
0000000001,00:00:01,0000001452,   12.30,         0
0000000001,00:00:01,0000001452,   12.40,         0
0000000001,00:00:01,0000001452,   12.50,         0
0000000001,00:00:01,0000001452,   12.60,         0
0000000001,00:00:01,0000001452,   12.70,         0
0000000001,00:00:01,0000001452,   12.80,         0
0000000001,00:00:01,0000001452,   12.90,         0
0000000001,00:00:01,0000001452,   13.00,         0
0000000001,00:00:01,0000001452,   13.10,         0
0000000001,00:00:01,0000001452,   13.20,         0
0000000001,00:00:01,0000001452,   13.30,         0
0000000001,00:00:01,0000001452,   13.40,         0
0000000001,00:00:01,0000001452,   13.50,         0
0000000001,00:00:01,0000001452,   13.60,         0
0000000001,00:00:01,0000001452,   13.70,         0
0000000001,00:00:01,0000001452,   13.80,         0
0000000001,00:00:01,0000001452,   13.90,         0
0000000001,00:00:01,0000001452,   14.00,         0
0000000001,00:00:01,0000001452,   14.10,         0
0000000001,00:00:01,0000001452,   14.20,         0
0000000001,00:00:01,0000001452,   14.30,         0
0000000001,00:00:01,0000001452,   14.40,         0
0000000001,00:00:01,0000001452,   14.50,         0
0000000001,00:00:01,0000001452,   14.60,         0
0000000001,00:00:01,0000001452,   14.70,         0
0000000001,00:00:01,0000001452,   14.80,         0
0000000001,00:00:01,0000001452,   14.90,         0
0000000001,00:00:01,0000001452,   15.00,         0
0000000001,00:00:01,0000001452,   15.10,         0
0000000001,00:00:01,0000001452,   15.20,         0
0000000001,00:00:01,0000001452,   15.30,         0
0000000001,00:00:01,0000001452,   15.40,         0
0000000001,00:00:01,0000001452,   15.50,         0
0000000001,00:00:01,0000001452,   15.60,         0
0000000001,00:00:01,0000001452,   15.70,         0
0000000001,00:00:01,0000001452,   15.80,         0
0000000001,00:00:01,0000001452,   15.90,         0
0000000001,00:00:01,0000001452,   16.00,         0
0000000001,00:00:01,0000001452,   16.10,         0
0000000001,00:00:01,0000001452,   16.20,         0
0000000001,00:00:01,0000001452,   16.30,         0
0000000001,00:00:01,0000001452,   16.40,         0
0000000001,00:00:01,0000001452,   16.50,         0
0000000001,00:00:01,0000001452,   16.60,         0
0000000001,00:00:01,0000001452,   16.70,         0
0000000001,00:00:01,0000001452,   16.80,         0
0000000001,00:00:01,0000001452,   16.90,         0
0000000001,00:00:01,0000001452,   17.00,         0
0000000001,00:00:01,0000001452,   17.10,         0
0000000001,00:00:01,0000001452,   17.20,         0
0000000001,00:00:01,0000001452,   17.30,         0
0000000001,00:00:01,0000001452,   17.40,         0
0000000001,00:00:01,0000001452,   17.50,         0
0000000001,00:00:01,0000001452,   17.60,         0
0000000001,00:00:01,0000001452,   17.70,         0
0000000001,00:00:01,0000001452,   17.80,         0
0000000001,00:00:01,0000001452,   17.90,      2000
0000000001,00:00:01,0000001452,   18.00,         0
0000000001,00:00:01,0000001452,   18.10,         0
0000000001,00:00:01,0000001452,   18.20,         0
0000000001,00:00:01,0000001452,   18.30,         0
0000000001,00:00:01,0000001452,   18.40,         0
0000000001,00:00:01,0000001452,   18.50,         0
0000000001,00:00:01,0000001452,   18.60,         0
0000000001,00:00:01,0000001452,   18.70,         0
0000000001,00:00:01,0000001452,   18.80,         0
0000000001,00:00:01,0000001452,   18.90,         0
0000000001,00:00:01,0000001452,   19.00,         0
0000000001,00:00:01,0000001452,   19.10,         0
0000000001,00:00:01,0000001452,   19.20,         0
0000000001,00:00:01,0000001452,   19.30,         0
0000000001,00:00:01,0000001452,   19.40,         0
0000000001,00:00:01,0000001452,   19.50,         0
0000000001,00:00:01,0000001452,   19.60,         0
0000000001,00:00:01,0000001452,   19.70,         0
0000000001,00:00:01,0000001452,   19.80,         0
0000000001,00:00:01,0000001452,   19.90,         0
0000000001,00:00:01,0000001452,   20.00,         0
0000000001,00:00:01,0000001452,   20.10,         0
0000000001,00:00:01,0000001452,   20.20,         0
0000000001,00:00:01,0000001452,   20.30,         0
0000000001,00:00:01,0000001452,   20.40,         0
0000000001,00:00:01,0000001452,   20.50,         0
0000000001,00:00:01,0000001452,   20.60,         0
0000000001,00:00:01,0000001452,   20.70,         0
0000000001,00:00:01,0000001452,   20.80,         0
0000000001,00:00:01,0000001452,   20.90,         0
0000000001,00:00:01,0000001452,   21.00,         0
0000000001,00:00:01,0000001452,   21.10,         0
0000000001,00:00:01,0000001452,   21.20,         0
0000000001,00:00:01,0000001452,   21.30,         0
0000000001,00:00:01,0000001452,   21.40,         0
0000000001,00:00:01,0000001452,   21.50,         0
0000000001,00:00:01,0000001452,   21.60,         0
0000000001,00:00:01,0000001452,   21.70,         0
0000000001,00:00:01,0000001452,   21.80,         0
0000000001,00:00:01,0000001452,   21.90,         0
0000000001,00:00:01,0000001452,   22.00,         0
0000000001,00:00:01,0000001452,   22.10,         0
0000000001,00:00:01,0000001452,   22.20,         0
0000000001,00:00:01,0000001452,   22.30,         0
0000000001,00:00:01,0000001452,   22.40,         0
0000000001,00:00:01,0000001452,   22.50,         0
0000000001,00:00:01,0000001452,   22.60,         0
0000000001,00:00:01,0000001452,   22.70,         0
0000000001,00:00:01,0000001452,   22.80,         0
0000000001,00:00:01,0000001452,   22.90,         0
0000000001,00:00:01,0000001452,   23.00,         0
0000000001,00:00:01,0000001452,   23.10,         0
0000000001,00:00:01,0000001452,   23.20,         0
0000000001,00:00:01,0000001452,   23.30,         0
0000000001,00:00:01,0000001452,   23.40,         0
0000000001,00:00:01,0000001452,   23.50,         0
0000000001,00:00:01,0000001452,   23.60,         0
0000000001,00:00:01,0000001452,   23.70,         0
0000000001,00:00:01,0000001452,   23.80,         0
0000000001,00:00:01,0000001452,   23.90,         0
0000000001,00:00:01,0000001452,   24.00,         0
0000000001,00:00:01,0000001452,   24.10,         0
0000000001,00:00:01,0000001452,   24.20,         0
0000000001,00:00:01,0000001452,   24.30,         0
0000000001,00:00:01,0000001452,   24.40,         0
0000000001,00:00:01,0000001452,   24.50,         0
0000000001,00:00:01,0000001452,   24.60,         0
0000000001,00:00:01,0000001452,   24.70,         0
0000000001,00:00:01,0000001452,   24.80,         0
0000000001,00:00:01,0000001452,   24.90,         0
0000000001,00:00:01,0000001452,   25.00,         0
0000000001,00:00:01,0000001452,   25.10,         0
0000000001,00:00:01,0000001452,   25.20,         0
0000000001,00:00:01,0000001452,   25.30,         0
0000000001,00:00:01,0000001452,   25.40,         0
0000000001,00:00:01,0000001452,   25.50,         0
0000000001,00:00:01,0000001452,   25.60,         0
0000000001,00:00:01,0000001452,   25.70,         0
0000000001,00:00:01,0000001452,   25.80,         0
0000000001,00:00:01,0000001452,   25.90,         0
0000000001,00:00:01,0000001452,   26.00,         0
0000000001,00:00:01,0000001452,   26.10,      1000
0000000001,00:00:01,0000001452,   26.20,         0
0000000001,00:00:01,0000001452,   26.30,         0
0000000001,00:00:01,0000001452,   26.40,         0
0000000001,00:00:01,0000001452,   26.50,         0
0000000001,00:00:01,0000001452,   26.60,         0
0000000001,00:00:01,0000001452,   26.70,         0
0000000001,00:00:01,0000001452,   26.80,         0
0000000001,00:00:01,0000001452,   26.90,         0
0000000001,00:00:01,0000001452,   27.00,         0
0000000001,00:00:01,0000001452,   27.10,         0
0000000001,00:00:01,0000001452,   27.20,         0
0000000001,00:00:01,0000001452,   27.30,         0
0000000001,00:00:01,0000001452,   27.40,         0
0000000001,00:00:01,0000001452,   27.50,         0
0000000001,00:00:01,0000001452,   27.60,         0
0000000001,00:00:01,0000001452,   27.70,     10000
0000000001,00:00:01,0000001452,   27.80,      8000
0000000001,00:00:01,0000001452,   27.90,      7000
0000000001,00:00:01,0000001452,   28.00,      9000
0000000001,00:00:01,0000001452,   28.10,      5000
0000000001,00:00:01,0000001452,   28.20,     10000
0000000001,00:00:01,0000001452,   28.30,      4000
0000000001,00:00:01,0000001452,   28.40,      3000
0000000001,00:00:01,0000001452,   28.50,         0
0000000001,00:00:01,0000001452,   28.60,         0
0000000001,00:00:01,0000001452,   28.70,         0
0000000001,00:00:01,0000001452,   28.80,      3000
0000000001,00:00:01,0000001452,   28.90,      1000
0000000001,00:00:01,0000001452,   29.00,      1000
0000000001,00:00:01,0000001452,   29.10,      6000
0000000001,00:00:01,0000001452,   29.20,      6000
0000000001,00:00:01,0000001452,   29.30,      2000
0000000001,00:00:01,0000001452,   29.40,      3000
0000000001,00:00:01,0000001452,   29.50,         0
0000000001,00:00:01,0000001452,   29.60,      1000
0000000001,00:00:01,0000001452,   29.70,      9000
0000000001,00:00:01,0000001452,   29.80,      2000
0000000001,00:00:01,0000001452,   29.90,     18000
0000000001,00:00:01,0000001452,   30.00,     13000
0000000001,00:00:01,0000001452,   30.10,     18000
0000000001,00:00:01,0000001452,   30.20,     16000
0000000001,00:00:01,0000001452,   30.30,     16000
0000000001,00:00:01,0000001452,   30.40,      9000
0000000001,00:00:01,0000001452,   30.50,         0
0000000001,00:00:01,0000001452,   30.60,         0
0000000001,00:00:01,0000001452,   30.70,         0
0000000001,00:00:01,0000001452,   30.80,         0
0000000001,00:00:01,0000001452,   30.90,         0
0000000001,00:00:01,0000001452,   31.00,         0
0000000001,00:00:01,0000001452,   31.10,         0
0000000001,00:00:01,0000001452,   31.20,         0
0000000001,00:00:01,0000001452,   31.30,         0
0000000001,00:00:01,0000001452,   31.40,         0
0000000001,00:00:01,0000001452,   31.50,         0
0000000001,00:00:01,0000001452,   31.60,         0
0000000001,00:00:01,0000001452,   31.70,         0
0000000001,00:00:01,0000001452,   31.80,         0
0000000001,00:00:01,0000001452,   31.90,         0
0000000001,00:00:01,0000001452,   32.00,         0
0000000001,00:00:01,0000001452,   32.10,         0
0000000001,00:00:01,0000001452,   32.20,      1000
0000000001,00:00:01,0000001452,   32.30,         0
0000000001,00:00:01,0000001452,   32.40,      4000
0000000001,00:00:01,0000001452,   32.50,         0
0000000001,00:00:01,0000001452,   32.60,         0
0000000001,00:00:01,0000001452,   32.70,         0
0000000001,00:00:01,0000001452,   32.80,         0
0000000001,00:00:01,0000001452,   32.90,         0
0000000001,00:00:01,0000001452,   33.00,         0
0000000001,00:00:01,0000001452,   33.10,         0
0000000001,00:00:01,0000001452,   33.20,         0
0000000001,00:00:01,0000001452,   33.30,         0
0000000001,00:00:01,0000001452,   33.40,         0
0000000001,00:00:01,0000001452,   33.50,         0
0000000001,00:00:01,0000001452,   33.60,         0
0000000001,00:00:01,0000001452,   33.70,         0
0000000001,00:00:01,0000001452,   33.80,         0
0000000001,00:00:01,0000001452,   33.90,         0
0000000001,00:00:01,0000001452,   34.00,         0
0000000001,00:00:01,0000001452,   34.10,         0
0000000001,00:00:01,0000001452,   34.20,         0
0000000001,00:00:01,0000001452,   34.30,         0
0000000001,00:00:01,0000001452,   34.40,         0
0000000001,00:00:01,0000001452,   34.50,         0
0000000001,00:00:01,0000001452,   34.60,         0
0000000001,00:00:01,0000001452,   34.70,         0
0000000001,00:00:01,0000001452,   34.80,         0
0000000001,00:00:01,0000001452,   34.90,         0
0000000001,00:00:01,0000001452,   35.00,         0
0000000001,00:00:01,0000001452,   35.10,         0
0000000001,00:00:01,0000001452,   35.20,         0
0000000001,00:00:01,0000001452,   35.30,         0
0000000001,00:00:01,0000001452,   35.40,         0
0000000001,00:00:01,0000001452,   35.50,         0
0000000001,00:00:01,0000001452,   35.60,         0
0000000001,00:00:01,0000001452,   35.70,         0
0000000001,00:00:01,0000001452,   35.80,         0
0000000001,00:00:01,0000001452,   35.90,         0
0000000001,00:00:01,0000001452,   36.00,         0
0000000001,00:00:01,0000001452,   36.10,         0
0000000001,00:00:01,0000001452,   36.20,         0
0000000001,00:00:01,0000001452,   36.30,         0
0000000001,00:00:01,0000001452,   36.40,         0
0000000001,00:00:01,0000001452,   36.50,         0
0000000001,00:00:01,0000001452,   36.60,         0
0000000001,00:00:01,0000001452,   36.70,         0
0000000001,00:00:01,0000001452,   36.80,         0
0000000001,00:00:01,0000001452,   36.90,         0
0000000001,00:00:01,0000001452,   37.00,         0
0000000001,00:00:01,0000001452,   37.10,         0
0000000001,00:00:01,0000001452,   37.20,         0
0000000001,00:00:01,0000001452,   37.30,         0
0000000001,00:00:01,0000001452,   37.40,         0
0000000001,00:00:01,0000001452,   37.50,         0
0000000001,00:00:01,0000001452,   37.60,         0
0000000001,00:00:01,0000001452,   37.70,         0
0000000001,00:00:01,0000001452,   37.80,         0
0000000001,00:00:01,0000001452,   37.90,         0
0000000001,00:00:01,0000001452,   38.00,         0
0000000001,00:00:01,0000001452,   38.10,         0
0000000001,00:00:01,0000001452,   38.20,         0
0000000001,00:00:01,0000001452,   38.30,         0
0000000001,00:00:01,0000001452,   38.40,         0
0000000001,00:00:01,0000001452,   38.50,         0
0000000001,00:00:01,0000001452,   38.60,         0
0000000001,00:00:01,0000001452,   38.70,         0
0000000001,00:00:01,0000001452,   38.80,         0
0000000001,00:00:01,0000001452,   38.90,         0
0000000001,00:00:01,0000001452,   39.00,         0
0000000001,00:00:01,0000001452,   39.10,         0
0000000001,00:00:01,0000001452,   39.20,         0
0000000001,00:00:01,0000001452,   39.30,         0
0000000001,00:00:01,0000001452,   39.40,         0
0000000001,00:00:01,0000001452,   39.50,         0
0000000001,00:00:01,0000001452,   39.60,         0
0000000001,00:00:01,0000001452,   39.70,         0
0000000001,00:00:01,0000001452,   39.80,         0
0000000001,00:00:01,0000001452,   39.90,      1000
0000000001,00:00:01,0000001452,   40.00,         0
0000000001,00:00:01,0000001452,   40.10,         0
0000000001,00:00:01,0000001452,   40.20,      1000
0000000001,00:00:01,0000001452,   40.30,         0
0000000001,00:00:01,0000001452,   40.40,         0
0000000001,00:00:01,0000001452,   40.50,         0
0000000001,00:00:01,0000001452,   40.60,         0
0000000001,00:00:01,0000001452,   40.70,         0
0000000001,00:00:01,0000001452,   40.80,         0
0000000001,00:00:01,0000001452,   40.90,         0
0000000001,00:00:01,0000001452,   41.00,         0
0000000001,00:00:01,0000001452,   41.10,      1000
0000000001,00:00:01,0000001452,   41.20,         0
0000000001,00:00:01,0000001452,   41.30,         0
0000000001,00:00:01,0000001452,   41.40,         0
0000000001,00:00:01,0000001452,   41.50,         0
0000000001,00:00:01,0000001452,   41.60,         0
0000000001,00:00:01,0000001452,   41.70,         0
0000000001,00:00:01,0000001452,   41.80,         0
0000000001,00:00:01,0000001452,   41.90,         0
0000000001,00:00:01,0000001452,   42.00,         0
0000000001,00:00:01,0000001452,   42.10,         0
0000000001,00:00:01,0000001452,   42.20,         0
0000000001,00:00:01,0000001452,   42.30,      1000
0000000001,00:00:01,0000001452,   42.40,         0
0000000001,00:00:01,0000001452,   42.50,         0
0000000001,00:00:01,0000001452,   42.60,         0
0000000001,00:00:01,0000001452,   42.70,         0
0000000001,00:00:01,0000001452,   42.80,         0
0000000001,00:00:01,0000001452,   42.90,         0
0000000001,00:00:01,0000001452,   43.00,         0
0000000001,00:00:01,0000001452,   43.10,         0
0000000001,00:00:01,0000001452,   43.20,         0
0000000001,00:00:01,0000001452,   43.30,         0
0000000001,00:00:01,0000001452,   43.40,         0
0000000001,00:00:01,0000001452,   43.50,         0
0000000001,00:00:01,0000001452,   43.60,         0
0000000001,00:00:01,0000001452,   43.70,         0
0000000001,00:00:01,0000001452,   43.80,         0
0000000001,00:00:01,0000001452,   43.90,         0
0000000001,00:00:01,0000001452,   44.00,         0
0000000001,00:00:01,0000001452,   44.10,         0
0000000001,00:00:01,0000001452,   44.20,         0
0000000001,00:00:01,0000001452,   44.30,         0
0000000001,00:00:01,0000001452,   44.40,         0
0000000001,00:00:01,0000001452,   44.50,         0
0000000001,00:00:01,0000001452,   44.60,         0
0000000001,00:00:01,0000001452,   44.70,         0
0000000001,00:00:01,0000001452,   44.80,         0
0000000001,00:00:01,0000001452,   44.90,         0
0000000001,00:00:01,0000001452,   45.00,         0
0000000001,00:00:01,0000001452,   45.10,         0
0000000001,00:00:01,0000001452,   45.20,         0
0000000001,00:00:01,0000001452,   45.30,         0
0000000001,00:00:01,0000001452,   45.40,         0
0000000001,00:00:01,0000001452,   45.50,         0
0000000001,00:00:01,0000001452,   45.60,         0
0000000001,00:00:01,0000001452,   45.70,         0
0000000001,00:00:01,0000001452,   45.80,         0
0000000001,00:00:01,0000001452,   45.90,         0
0000000001,00:00:01,0000001452,   46.00,         0
0000000001,00:00:01,0000001452,   46.10,         0
0000000001,00:00:01,0000001452,   46.20,         0
0000000001,00:00:01,0000001452,   46.30,         0
0000000001,00:00:01,0000001452,   46.40,         0
0000000001,00:00:01,0000001452,   46.50,         0
0000000001,00:00:01,0000001452,   46.60,         0
0000000001,00:00:01,0000001452,   46.70,         0
0000000001,00:00:01,0000001452,   46.80,         0
0000000001,00:00:01,0000001452,   46.90,         0
0000000001,00:00:01,0000001452,   47.00,         0
0000000001,00:00:01,0000001452,   47.10,         0
0000000001,00:00:01,0000001452,   47.20,         0
0000000001,00:00:01,0000001452,   47.30,         0
0000000001,00:00:01,0000001452,   47.40,         0
0000000001,00:00:01,0000001452,   47.50,         0
0000000001,00:00:01,0000001452,   47.60,         0
0000000001,00:00:01,0000001452,   47.70,         0
0000000001,00:00:01,0000001452,   47.80,         0
0000000001,00:00:01,0000001452,   47.90,         0
0000000001,00:00:01,0000001452,   48.00,         0
0000000001,00:00:01,0000001452,   48.10,         0
0000000001,00:00:01,0000001452,   48.20,         0
0000000001,00:00:01,0000001452,   48.30,         0
0000000001,00:00:01,0000001452,   48.40,         0
0000000001,00:00:01,0000001452,   48.50,         0
0000000001,00:00:01,0000001452,   48.60,         0
0000000001,00:00:01,0000001452,   48.70,         0
0000000001,00:00:01,0000001452,   48.80,         0
0000000001,00:00:01,0000001452,   48.90,         0
0000000001,00:00:01,0000001452,   49.00,         0
0000000001,00:00:01,0000001452,   49.10,         0
0000000001,00:00:01,0000001452,   49.20,         0
0000000001,00:00:01,0000001452,   49.30,         0
