0000000601,scans,0000000052,DataLength
"header",0000000040,"lines"
"Date",19/11/2020,"Time",11:41:54
"ID","EQP HIGH ENERGY #15031","Version",3
"Scans",1
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","+ion SIMS","SEM","energy",0.00,30.00,0.05,100.000%,100.000%,1.000000,1.000000,
"Environment",
"Global","+ion SIMS"
"1st-dynode",-3500,"V"
"CRV_range",7,"c/s"
"CRV_resolution",6,"bits"
"D.C.quad",-2,"%"
"F1",0,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"axis",-40.0,"V"
"cage",0.0,"V"
"delta-m",0,"%"
"discriminator",-10,"%"
"electron-energy",70.0,"V"
"emission",100.0000,"uA"
"energy",5.75,"V"
"extractor",-42,"V"
"focus2",-352,"V"
"gate_delay",0.1,"uS"
"gate_width",30.0,"uS"
"gating",0,"( 1 = on, 0 = off )"
"gating_invert",0,"( 0 = normal, 1 = invert)"
"horiz",10,"%"
"lens1",-68,"V"
"lens2",-112,"V"
"mass",28.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1900,"V"
"plates",7.27,"V"
"reference",0.0,"V"
"resolution",0,"%"
"suppressor",-200,"V"
"transit-energy",3.00,"V"
"vert",30,"%"
"Data",1
"Cycle","Time","ms","energy V","SEM c/s"
0000000001,00:00:01,0000001381,    0.00,       600
0000000001,00:00:01,0000001381,    0.05,       400
0000000001,00:00:01,0000001381,    0.10,       100
0000000001,00:00:01,0000001381,    0.15,       600
0000000001,00:00:01,0000001381,    0.20,       200
0000000001,00:00:01,0000001381,    0.25,         0
0000000001,00:00:01,0000001381,    0.30,         0
0000000001,00:00:01,0000001381,    0.35,       200
0000000001,00:00:01,0000001381,    0.40,       100
0000000001,00:00:01,0000001381,    0.45,         0
0000000001,00:00:01,0000001381,    0.50,         0
0000000001,00:00:01,0000001381,    0.55,         0
0000000001,00:00:01,0000001381,    0.60,         0
0000000001,00:00:01,0000001381,    0.65,         0
0000000001,00:00:01,0000001381,    0.70,       300
0000000001,00:00:01,0000001381,    0.75,       200
0000000001,00:00:01,0000001381,    0.80,         0
0000000001,00:00:01,0000001381,    0.85,       100
0000000001,00:00:01,0000001381,    0.90,       400
0000000001,00:00:01,0000001381,    0.95,       500
0000000001,00:00:01,0000001381,    1.00,       400
0000000001,00:00:01,0000001381,    1.05,       100
0000000001,00:00:01,0000001381,    1.10,       200
0000000001,00:00:01,0000001381,    1.15,         0
0000000001,00:00:01,0000001381,    1.20,       200
0000000001,00:00:01,0000001381,    1.25,       200
0000000001,00:00:01,0000001381,    1.30,         0
0000000001,00:00:01,0000001381,    1.35,       200
0000000001,00:00:01,0000001381,    1.40,       200
0000000001,00:00:01,0000001381,    1.45,       100
0000000001,00:00:01,0000001381,    1.50,       100
0000000001,00:00:01,0000001381,    1.55,       200
0000000001,00:00:01,0000001381,    1.60,       200
0000000001,00:00:01,0000001381,    1.65,         0
0000000001,00:00:01,0000001381,    1.70,       100
0000000001,00:00:01,0000001381,    1.75,         0
0000000001,00:00:01,0000001381,    1.80,       200
0000000001,00:00:01,0000001381,    1.85,       400
0000000001,00:00:01,0000001381,    1.90,       300
0000000001,00:00:01,0000001381,    1.95,       600
0000000001,00:00:01,0000001381,    2.00,       200
0000000001,00:00:01,0000001381,    2.05,       500
0000000001,00:00:01,0000001381,    2.10,       100
0000000001,00:00:01,0000001381,    2.15,       600
0000000001,00:00:01,0000001381,    2.20,       600
0000000001,00:00:01,0000001381,    2.25,       200
0000000001,00:00:01,0000001381,    2.30,       600
0000000001,00:00:01,0000001381,    2.35,       200
0000000001,00:00:01,0000001381,    2.40,       600
0000000001,00:00:01,0000001381,    2.45,       300
0000000001,00:00:01,0000001381,    2.50,       100
0000000001,00:00:01,0000001381,    2.55,       200
0000000001,00:00:01,0000001381,    2.60,       100
0000000001,00:00:01,0000001381,    2.65,       400
0000000001,00:00:01,0000001381,    2.70,       300
0000000001,00:00:01,0000001381,    2.75,       300
0000000001,00:00:01,0000001381,    2.80,         0
0000000001,00:00:01,0000001381,    2.85,       100
0000000001,00:00:01,0000001381,    2.90,         0
0000000001,00:00:01,0000001381,    2.95,       200
0000000001,00:00:01,0000001381,    3.00,       100
0000000001,00:00:01,0000001381,    3.05,       300
0000000001,00:00:01,0000001381,    3.10,       300
0000000001,00:00:01,0000001381,    3.15,       500
0000000001,00:00:01,0000001381,    3.20,       400
0000000001,00:00:01,0000001381,    3.25,       700
0000000001,00:00:01,0000001381,    3.30,       300
0000000001,00:00:01,0000001381,    3.35,       300
0000000001,00:00:01,0000001381,    3.40,       600
0000000001,00:00:01,0000001381,    3.45,       100
0000000001,00:00:01,0000001381,    3.50,       200
0000000001,00:00:01,0000001381,    3.55,         0
0000000001,00:00:01,0000001381,    3.60,       400
0000000001,00:00:01,0000001381,    3.65,         0
0000000001,00:00:01,0000001381,    3.70,         0
0000000001,00:00:01,0000001381,    3.75,       100
0000000001,00:00:01,0000001381,    3.80,       100
0000000001,00:00:01,0000001381,    3.85,       400
0000000001,00:00:01,0000001381,    3.90,       200
0000000001,00:00:01,0000001381,    3.95,       300
0000000001,00:00:01,0000001381,    4.00,       600
0000000001,00:00:01,0000001381,    4.05,       200
0000000001,00:00:01,0000001381,    4.10,       300
0000000001,00:00:01,0000001381,    4.15,       400
0000000001,00:00:01,0000001381,    4.20,         0
0000000001,00:00:01,0000001381,    4.25,       400
0000000001,00:00:01,0000001381,    4.30,       400
0000000001,00:00:01,0000001381,    4.35,       200
0000000001,00:00:01,0000001381,    4.40,       100
0000000001,00:00:01,0000001381,    4.45,         0
0000000001,00:00:01,0000001381,    4.50,       600
0000000001,00:00:01,0000001381,    4.55,       300
0000000001,00:00:01,0000001381,    4.60,      1000
0000000001,00:00:01,0000001381,    4.65,       700
0000000001,00:00:01,0000001381,    4.70,       500
0000000001,00:00:01,0000001381,    4.75,       800
0000000001,00:00:01,0000001381,    4.80,       500
0000000001,00:00:01,0000001381,    4.85,       700
0000000001,00:00:01,0000001381,    4.90,       400
0000000001,00:00:01,0000001381,    4.95,       800
0000000001,00:00:01,0000001381,    5.00,       800
0000000001,00:00:01,0000001381,    5.05,       500
0000000001,00:00:01,0000001381,    5.10,       700
0000000001,00:00:01,0000001381,    5.15,       500
0000000001,00:00:01,0000001381,    5.20,      1000
0000000001,00:00:01,0000001381,    5.25,      1200
0000000001,00:00:01,0000001381,    5.30,       500
0000000001,00:00:01,0000001381,    5.35,       400
0000000001,00:00:01,0000001381,    5.40,      1900
0000000001,00:00:01,0000001381,    5.45,       800
0000000001,00:00:01,0000001381,    5.50,      2000
0000000001,00:00:01,0000001381,    5.55,       500
0000000001,00:00:01,0000001381,    5.60,      1100
0000000001,00:00:01,0000001381,    5.65,      1400
0000000001,00:00:01,0000001381,    5.70,       900
0000000001,00:00:01,0000001381,    5.75,      1300
0000000001,00:00:01,0000001381,    5.80,      2400
0000000001,00:00:01,0000001381,    5.85,      1000
0000000001,00:00:01,0000001381,    5.90,      1300
0000000001,00:00:01,0000001381,    5.95,      1300
0000000001,00:00:01,0000001381,    6.00,      1600
0000000001,00:00:01,0000001381,    6.05,      2100
0000000001,00:00:01,0000001381,    6.10,      1400
0000000001,00:00:01,0000001381,    6.15,      1200
0000000001,00:00:01,0000001381,    6.20,      1200
0000000001,00:00:01,0000001381,    6.25,      1000
0000000001,00:00:01,0000001381,    6.30,      2300
0000000001,00:00:01,0000001381,    6.35,      1400
0000000001,00:00:01,0000001381,    6.40,      2300
0000000001,00:00:01,0000001381,    6.45,      2600
0000000001,00:00:01,0000001381,    6.50,      2100
0000000001,00:00:01,0000001381,    6.55,      2000
0000000001,00:00:01,0000001381,    6.60,      1500
0000000001,00:00:01,0000001381,    6.65,      1900
0000000001,00:00:01,0000001381,    6.70,      2300
0000000001,00:00:01,0000001381,    6.75,      2700
0000000001,00:00:01,0000001381,    6.80,      1900
0000000001,00:00:01,0000001381,    6.85,      2500
0000000001,00:00:01,0000001381,    6.90,      1900
0000000001,00:00:01,0000001381,    6.95,      2200
0000000001,00:00:01,0000001381,    7.00,      1900
0000000001,00:00:01,0000001381,    7.05,      1600
0000000001,00:00:01,0000001381,    7.10,      2600
0000000001,00:00:01,0000001381,    7.15,      2400
0000000001,00:00:01,0000001381,    7.20,      2700
0000000001,00:00:01,0000001381,    7.25,      2400
0000000001,00:00:01,0000001381,    7.30,      1700
0000000001,00:00:01,0000001381,    7.35,      2600
0000000001,00:00:01,0000001381,    7.40,      2400
0000000001,00:00:01,0000001381,    7.45,      2600
0000000001,00:00:01,0000001381,    7.50,      2800
0000000001,00:00:01,0000001381,    7.55,      3400
0000000001,00:00:01,0000001381,    7.60,      2600
0000000001,00:00:01,0000001381,    7.65,      3000
0000000001,00:00:01,0000001381,    7.70,      4400
0000000001,00:00:01,0000001381,    7.75,      3600
0000000001,00:00:01,0000001381,    7.80,      4100
0000000001,00:00:01,0000001381,    7.85,      2300
0000000001,00:00:01,0000001381,    7.90,      3200
0000000001,00:00:01,0000001381,    7.95,      3100
0000000001,00:00:01,0000001381,    8.00,      2200
0000000001,00:00:01,0000001381,    8.05,      4300
0000000001,00:00:01,0000001381,    8.10,      2600
0000000001,00:00:01,0000001381,    8.15,      3800
0000000001,00:00:01,0000001381,    8.20,      3400
0000000001,00:00:01,0000001381,    8.25,      4300
0000000001,00:00:01,0000001381,    8.30,      2400
0000000001,00:00:01,0000001381,    8.35,      3100
0000000001,00:00:01,0000001381,    8.40,      4100
0000000001,00:00:01,0000001381,    8.45,      3700
0000000001,00:00:01,0000001381,    8.50,      4600
0000000001,00:00:01,0000001381,    8.55,      3400
0000000001,00:00:01,0000001381,    8.60,      3100
0000000001,00:00:01,0000001381,    8.65,      3200
0000000001,00:00:01,0000001381,    8.70,      2400
0000000001,00:00:01,0000001381,    8.75,      3600
0000000001,00:00:01,0000001381,    8.80,      4100
0000000001,00:00:01,0000001381,    8.85,      4000
0000000001,00:00:01,0000001381,    8.90,      2900
0000000001,00:00:01,0000001381,    8.95,      3100
0000000001,00:00:01,0000001381,    9.00,      3700
0000000001,00:00:01,0000001381,    9.05,      4200
0000000001,00:00:01,0000001381,    9.10,      3800
0000000001,00:00:01,0000001381,    9.15,      3900
0000000001,00:00:01,0000001381,    9.20,      3000
0000000001,00:00:01,0000001381,    9.25,      3900
0000000001,00:00:01,0000001381,    9.30,      4100
0000000001,00:00:01,0000001381,    9.35,      4100
0000000001,00:00:01,0000001381,    9.40,      3700
0000000001,00:00:01,0000001381,    9.45,      2800
0000000001,00:00:01,0000001381,    9.50,      4300
0000000001,00:00:01,0000001381,    9.55,      3500
0000000001,00:00:01,0000001381,    9.60,      4000
0000000001,00:00:01,0000001381,    9.65,      4400
0000000001,00:00:01,0000001381,    9.70,      5600
0000000001,00:00:01,0000001381,    9.75,      3800
0000000001,00:00:01,0000001381,    9.80,      4600
0000000001,00:00:01,0000001381,    9.85,      4300
0000000001,00:00:01,0000001381,    9.90,      5400
0000000001,00:00:01,0000001381,    9.95,      5100
0000000001,00:00:01,0000001381,   10.00,      4900
0000000001,00:00:01,0000001381,   10.05,      4500
0000000001,00:00:01,0000001381,   10.10,      4700
0000000001,00:00:01,0000001381,   10.15,      4600
0000000001,00:00:01,0000001381,   10.20,      4600
0000000001,00:00:01,0000001381,   10.25,      5100
0000000001,00:00:01,0000001381,   10.30,      4500
0000000001,00:00:01,0000001381,   10.35,      5200
0000000001,00:00:01,0000001381,   10.40,      4700
0000000001,00:00:01,0000001381,   10.45,      6200
0000000001,00:00:01,0000001381,   10.50,      4900
0000000001,00:00:01,0000001381,   10.55,      4300
0000000001,00:00:01,0000001381,   10.60,      5800
0000000001,00:00:01,0000001381,   10.65,      4600
0000000001,00:00:01,0000001381,   10.70,      5800
0000000001,00:00:01,0000001381,   10.75,      3600
0000000001,00:00:01,0000001381,   10.80,      6400
0000000001,00:00:01,0000001381,   10.85,      4800
0000000001,00:00:01,0000001381,   10.90,      5300
0000000001,00:00:01,0000001381,   10.95,      5400
0000000001,00:00:01,0000001381,   11.00,      5000
0000000001,00:00:01,0000001381,   11.05,      5300
0000000001,00:00:01,0000001381,   11.10,      5100
0000000001,00:00:01,0000001381,   11.15,      5400
0000000001,00:00:01,0000001381,   11.20,      4500
0000000001,00:00:01,0000001381,   11.25,      4900
0000000001,00:00:01,0000001381,   11.30,      5500
0000000001,00:00:01,0000001381,   11.35,      4900
0000000001,00:00:01,0000001381,   11.40,      3700
0000000001,00:00:01,0000001381,   11.45,      6600
0000000001,00:00:01,0000001381,   11.50,      4500
0000000001,00:00:01,0000001381,   11.55,      4100
0000000001,00:00:01,0000001381,   11.60,      6900
0000000001,00:00:01,0000001381,   11.65,      4500
0000000001,00:00:01,0000001381,   11.70,      5600
0000000001,00:00:01,0000001381,   11.75,      6400
0000000001,00:00:01,0000001381,   11.80,      6400
0000000001,00:00:01,0000001381,   11.85,      5100
0000000001,00:00:01,0000001381,   11.90,      6300
0000000001,00:00:01,0000001381,   11.95,      5100
0000000001,00:00:01,0000001381,   12.00,      5900
0000000001,00:00:01,0000001381,   12.05,      6500
0000000001,00:00:01,0000001381,   12.10,      4500
0000000001,00:00:01,0000001381,   12.15,      5300
0000000001,00:00:01,0000001381,   12.20,      5300
0000000001,00:00:01,0000001381,   12.25,      6800
0000000001,00:00:01,0000001381,   12.30,      5800
0000000001,00:00:01,0000001381,   12.35,      3700
0000000001,00:00:01,0000001381,   12.40,      5300
0000000001,00:00:01,0000001381,   12.45,      6000
0000000001,00:00:01,0000001381,   12.50,      6200
0000000001,00:00:01,0000001381,   12.55,      4800
0000000001,00:00:01,0000001381,   12.60,      8000
0000000001,00:00:01,0000001381,   12.65,      4300
0000000001,00:00:01,0000001381,   12.70,      5700
0000000001,00:00:01,0000001381,   12.75,      6600
0000000001,00:00:01,0000001381,   12.80,      7000
0000000001,00:00:01,0000001381,   12.85,      6200
0000000001,00:00:01,0000001381,   12.90,      4500
0000000001,00:00:01,0000001381,   12.95,      6700
0000000001,00:00:01,0000001381,   13.00,      5200
0000000001,00:00:01,0000001381,   13.05,      8000
0000000001,00:00:01,0000001381,   13.10,      7400
0000000001,00:00:01,0000001381,   13.15,      6800
0000000001,00:00:01,0000001381,   13.20,      6200
0000000001,00:00:01,0000001381,   13.25,      5300
0000000001,00:00:01,0000001381,   13.30,      5800
0000000001,00:00:01,0000001381,   13.35,      4300
0000000001,00:00:01,0000001381,   13.40,      6300
0000000001,00:00:01,0000001381,   13.45,      6100
0000000001,00:00:01,0000001381,   13.50,      6100
0000000001,00:00:01,0000001381,   13.55,      5800
0000000001,00:00:01,0000001381,   13.60,      7100
0000000001,00:00:01,0000001381,   13.65,      7600
0000000001,00:00:01,0000001381,   13.70,      7600
0000000001,00:00:01,0000001381,   13.75,      6200
0000000001,00:00:01,0000001381,   13.80,      7500
0000000001,00:00:01,0000001381,   13.85,      7700
0000000001,00:00:01,0000001381,   13.90,      7500
0000000001,00:00:01,0000001381,   13.95,      5600
0000000001,00:00:01,0000001381,   14.00,      6800
0000000001,00:00:01,0000001381,   14.05,      7200
0000000001,00:00:01,0000001381,   14.10,      6500
0000000001,00:00:01,0000001381,   14.15,      7600
0000000001,00:00:01,0000001381,   14.20,      6100
0000000001,00:00:01,0000001381,   14.25,      6900
0000000001,00:00:01,0000001381,   14.30,      6200
0000000001,00:00:01,0000001381,   14.35,      6400
0000000001,00:00:01,0000001381,   14.40,      7600
